id,title,milestone,priority,type,risk
AP-001,Create Repository,M0,p0,docs,
AP-002,Define Product Hypotheses,M0,p0,docs,
AP-003,Define Go No-Go Criteria,M0,p0,docs,
AP-004,Define Shot Schema,M0,p0,data,
AP-010,PlatformIO Project,M1,p0,firmware,
AP-011,OLED Initialization,M1,p1,firmware,
AP-012,ESP32 Lunar BLE Scan,M1,p0,firmware,
AP-013,Lunar Connection,M1,p0,firmware,high
AP-014,Notifications Subscribe,M1,p0,firmware,
AP-015,Weight Stream Capture,M1,p0,firmware,
AP-016,Tare Command,M1,p0,firmware,
AP-017,Reconnect Handling,M1,p0,firmware,high
AP-018,CSV Logger,M1,p0,data,
AP-019,First 50 Shot Dataset,M1,p0,data,
AP-020,Flow Calculation,M2,p0,analysis,
AP-021,Shot Start Detection,M2,p0,analysis,
AP-022,Shot End Detection,M2,p0,analysis,
AP-030,Baseline Rule Set,M3,p0,analysis,
AP-031,Recommendation Output Format,M3,p0,data,
AP-032,Recommendation Case Studies,M3,p0,analysis,
AP-040,Interview Guide,M4,p0,research,
AP-041,10 External Interviews,M4,p0,research,
AP-042,Prototype Tester Cohort,M4,p1,research,
